DNS Host,Bytes
connectivitycheck.gstatic.com.,97
api.spotify.com.,83
www.google-analytics.com.,92
api-partner.spotify.com.,91
gae-spclient.spotify.com.,92
clients3.google.com.,87
clients4.google.com.,87
play.googleapis.com.,87
play.googleapis.com.,87
audio-ak-spotify-com.akamaized.net.,102
